criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,imdb_tconst,imdb_primaryTitle,imdb_startYear,match_score,match_method
716,717.0,The Young Girls of Rochefort,1967.0,Jacques Demy,"France,",tt0062873,The Young Girls of Rochefort,1967.0,112.0,auto
717,718.0,Donkey Skin,1970.0,Jacques Demy,"France,",tt0066207,Donkey Skin,1970.0,112.0,auto
718,719.0,Une chambre en ville,1982.0,Jacques Demy,"France,",tt0084843,A Room in Town,1982.0,112.0,auto
719,720.0,The Big Chill,1983.0,Lawrence Kasdan,"United States,",tt0085244,The Big Chill,1983.0,112.0,auto
720,721.0,Love Streams,1984.0,John Cassavetes,"United States,",tt0087644,Love Streams,1984.0,112.0,auto
721,722.0,Tie Me Up! Tie Me Down!,1990.0,Pedro Almodóvar,"Spain,",tt0101026,Tie Me Up! Tie Me Down!,1989.0,106.0,auto
722,723.0,Y tu mamá también,2001.0,Alfonso Cuarón,"Mexico,",tt0245574,Y tu mamá también,2001.0,112.0,auto
723,724.0,All That Jazz,1979.0,Bob Fosse,"United States,",tt0078754,All That Jazz,1979.0,112.0,auto
724,725.0,Eraserhead,1977.0,David Lynch,"United States,",tt0074486,Eraserhead,1977.0,112.0,auto
725,726.0,Macbeth,1971.0,Roman Polanski,"United Kingdom,",tt0067372,Macbeth,1971.0,112.0,auto
726,727.0,The Innocents,1961.0,Jack Clayton,"United States,",tt0055018,The Innocents,1961.0,112.0,auto
727,728.0,Sundays and Cybèle,1962.0,Serge Bourguignon,"France,",tt0055910,Sundays and Cybèle,1962.0,112.0,auto
729,730.0,Jour de fête,1949.0,Jacques Tati,"France,",tt0040497,The Big Day,1949.0,112.0,auto
730,731.0,Parade,1974.0,Jacques Tati,"France,",tt0071968,Parade,1974.0,112.0,auto
731,732.0,My Darling Clementine,1946.0,John Ford,"United States,",tt0038762,My Darling Clementine,1946.0,112.0,auto
732,733.0,La dolce vita,1960.0,Federico Fellini,"Italy,",tt0053779,La Dolce Vita,1960.0,112.0,auto
733,734.0,The Shooting,1966.0,Monte Hellman,"United States,",tt0062262,The Shooting,1966.0,112.0,auto
734,735.0,Ride in the Whirlwind,1966.0,Monte Hellman,"United States,",tt0059653,Ride in the Whirlwind,1966.0,112.0,auto
735,736.0,It Happened One Night,1934.0,Frank Capra,"United States,",tt0025316,It Happened One Night,1934.0,112.0,auto
737,738.0,Tootsie,1982.0,Sydney Pollack,"United States,",tt0084805,Tootsie,1982.0,112.0,auto
738,739.0,Safe,1995.0,Todd Haynes,"United States,",tt0114323,Safe,1995.0,112.0,auto
739,740.0,The Bitter Tears of Petra von Kant,1972.0,Rainer Werner Fassbinder,"West Germany,",tt0068278,The Bitter Tears of Petra von Kant,1972.0,112.0,auto
740,741.0,My Winnipeg,2007.0,Guy Maddin,"Canada,",tt1093842,My Winnipeg,2007.0,112.0,auto
741,742.0,The Palm Beach Story,1942.0,Preston Sturges,"United States,",tt0035169,The Palm Beach Story,1942.0,112.0,auto
742,743.0,La Ciénaga,2001.0,Lucrecia Martel,"Argentina,",tt0240419,The Swamp,2001.0,112.0,auto
743,744.0,Every Man for Himself,1980.0,Jean-Luc Godard,"France,",tt0079854,Every Man for Himself,1980.0,112.0,auto
744,745.0,Don’t Look Now,1973.0,Nicolas Roeg,"United Kingdom,",tt0069995,Don't Look Now,1973.0,112.0,auto
746,747.0,Fellini Satyricon,1969.0,Federico Fellini,"Italy,",tt0064940,Satyricon,1969.0,112.0,auto
747,748.0,Watership Down,1978.0,Martin Rosen,"United Kingdom,",tt0078480,Watership Down,1978.0,112.0,auto
748,749.0,The Soft Skin,1964.0,François Truffaut,"France,",tt0058458,The Soft Skin,1964.0,112.0,auto
749,750.0,Ride the Pink Horse,1947.0,Robert Montgomery,"United States,",tt0039768,Ride the Pink Horse,1947.0,112.0,auto
750,751.0,Gates of Heaven,1978.0,Errol Morris,"United States,",tt0077598,Gates of Heaven,1978.0,112.0,auto
