criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,reason
1256,1257.0,Jean de Florette / Manon of the Spring: Two Films by Claude Berri,,,,no title candidates
1262,1263.0,The Three Musketeers / The Four Musketeers: Two Films by Richard Lester,,,,no title candidates
1274,1275.0,A Confucian Confusion / Mahjong: Two Films by Edward Yang,,,,no title candidates
1295,1296.0,Martin Scorsese’s World Cinema Project No. 5,,,,no title candidates
1305,,The Samurai Trilogy,,,,no title candidates
1306,,Yojimbo / Sanjuro: Two Samurai Films by Akira Kurosawa,,,,no title candidates
1314,,Paul Robeson: Tribute to an Artist,1979.0,Saul J. Turell,"United States,",no title candidates
1317,,La Jetée,1963.0,Chris Marker,"France,",no title candidates
1325,,À propos de Nice,1930.0,Jean Vigo and Boris Kaufman,"France,",no title candidates
1353,,The Shooting/Ride in the Whirlwind,,,,no title candidates
1354,,"Gates of Heaven/Vernon, Florida",,,,no title candidates
1355,,André Gregory & Wallace Shawn: 3 Films,,,,no title candidates
1356,,The Complete Lady Snowblood,,,,no title candidates
1357,,The Emigrants/The New Land,,,,no title candidates
1358,,"A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco",,,,no title candidates
1359,,Trilogía de Guillermo del Toro,,,,no title candidates
1366,,Ingmar Bergman’s Cinema,,,,no title candidates
1376,,Fårö Document 1979,1979.0,Ingmar Bergman,"Sweden,",no title candidates
1377,,Fårö Document,1970.0,Ingmar Bergman,"Sweden,",no title candidates
1378,,Waiting Women,1952.0,Ingmar Bergman,"Sweden,",ambiguous_or_low_confidence
1384,,Police Story / Police Story 2,,,,no title candidates
1385,,The Koker Trilogy,,,,no title candidates
1387,,King Kong vs. Godzilla,1963.0,,"Japan,",ambiguous_or_low_confidence
1400,,Three Fantastic Journeys by Karel Zeman,,,,no title candidates
1406,,The Complete Films of Agnès Varda,,,,no title candidates
1407,,Varda by Agnès,2019.0,Agnès Varda,"France,",no title candidates
1417,,Agnès de ci de là Varda,2011.0,Agnès Varda,"France,",no title candidates
1419,,Essential Fellini,,,,no title candidates
1422,,Three Films by Luis Buñuel,,,,no title candidates
1423,,World of Wong Kar Wai,,,,no title candidates
1429,,Melvin Van Peebles: Essential Films,,,,no title candidates
1435,,The Red Balloon,1956.0,Albert Lamorisse,"France,",year window removed all
1436,,White Mane,1953.0,Albert Lamorisse,"France,",no title candidates
1437,,Paddle to the Sea,1966.0,William Mason,"Canada,",no title candidates
1438,,AK 100: 25 Films by Akira Kurosawa,,,,no title candidates
1440,,Essential Art House: 50 Years of Janus Films,,,,no title candidates
1441,,Three Documentaries,1962.0,Saul J. Turell,"United States,",no title candidates
1443,,Olivier’s Shakespeare,,,,no title candidates
1444,,Eclipse Series 1: Early Bergman,,,,no title candidates
1450,,Eclipse Series 2: The Documentaries of Louis Malle,,,,no title candidates
1451,,Vive le Tour,1962.0,Louis Malle,"France,",no title candidates
1454,,Phantom India,1969.0,Louis Malle,"France,",no title candidates
1458,,Eclipse Series 3: Late Ozu,,,,no title candidates
1464,,Eclipse Series 4: Raymond Bernard,,,,no title candidates
1467,,Eclipse Series 5: The First Films of Samuel Fuller,,,,no title candidates
1471,,Eclipse Series 6: Carlos Saura’s Flamenco Trilogy,,,,no title candidates
1475,,Eclipse Series 7: Postwar Kurosawa,,,,no title candidates
1481,,Eclipse Series 8: Lubitsch Musicals,,,,no title candidates
1486,,Eclipse Series 9: The Delirious Fictions of William Klein,,,,no title candidates
1490,,Eclipse Series 10: Silent Ozu—Three Family Comedies,,,,no title candidates
1494,,Eclipse Series 11: Larisa Shepitko,,,,no title candidates
1496,,Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy,,,,no title candidates
1500,,Eclipse Series 13: Kenji Mizoguchi’s Fallen Women,,,,no title candidates
1505,,Eclipse Series 14: Rossellini’s History Films—Renaissance and Enlightenment,,,,no title candidates
1506,,The Age of the Medici,1973.0,Roberto Rossellini,"Italy,",no title candidates
1507,,Cartesius,1974.0,Roberto Rossellini,"Italy,",no title candidates
1509,,Eclipse Series 15: Travels with Hiroshi Shimizu,,,,no title candidates
1514,,Eclipse Series 16: Alexander Korda’s Private Lives,,,,no title candidates
1519,,Eclipse Series 17: Nikkatsu Noir,,,,no title candidates
1525,,Eclipse Series 18: Dušan Makavejev—Free Radical,,,,no title candidates
1529,,Eclipse Series 19: Chantal Akerman in the Seventies,,,,no title candidates
1530,,La chambre,1972.0,Chantal Akerman,"United States,",year window removed all
1535,,Eclipse Series 20: George Bernard Shaw on Film,,,,no title candidates
1539,,Eclipse Series 21: Oshima’s Outlaw Sixties,,,,no title candidates
1545,,Eclipse Series 22: Presenting Sacha Guitry,,,,no title candidates
1550,,Eclipse Series 23: The First Films of Akira Kurosawa,,,,no title candidates
1555,,Eclipse Series 24: The Actuality Dramas of Allan King,,,,no title candidates
1561,,Eclipse Series 25: Basil Dearden’s London Underground,,,,no title candidates
1566,,Eclipse Series 26: Silent Naruse,,,,no title candidates
1567,,"Flunky, Work Hard",1931.0,Mikio Naruse,"Japan,",no title candidates
1572,,Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas,,,,no title candidates
1577,,Eclipse Series 28: The Warped World of Koreyoshi Kurahara,,,,no title candidates
1583,,Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys,,,,no title candidates
1587,,Eclipse Series 30: Sabu!,,,,no title candidates
1591,,Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin,,,,no title candidates
1595,,Eclipse Series 32: Pearls of the Czech New Wave,,,,no title candidates
1601,,Eclipse Series 33: Up All Night with Robert Downey Sr.,,,,no title candidates
1607,,Eclipse Series 34: Jean Grémillon During the Occupation,,,,no title candidates
1611,,Eclipse Series 35: Maidstone and Other Films by Norman Mailer,,,,no title candidates
1615,,Eclipse Series 36: Three Wicked Melodramas from Gainsborough Pictures,,,,no title candidates
1619,,Eclipse Series 37: When Horror Came to Shochiku,,,,no title candidates
1624,,Eclipse Series 38: Masaki Kobayashi Against the System,,,,no title candidates
1629,,Eclipse Series 39: Early Fassbinder,,,,no title candidates
1635,,Eclipse Series 40: Late Ray,,,,no title candidates
1639,,Eclipse Series 41: Kinoshita and World War II,,,,no title candidates
1645,,Eclipse Series 42: Silent Ozu—Three Crime Dramas,,,,no title candidates
